epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4691.62,1.31833,1.25772,1.46541,0.70353,0.50408,0.52144,0.34647,1.23147,0.88588,1.5115,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,4846.84,1.30269,1.25018,1.45625,0.69036,0.50737,0.53019,0.35494,1.22233,0.87396,1.50373,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5004.09,1.31016,1.24541,1.46052,0.70798,0.50691,0.53058,0.35645,1.2099,0.86564,1.4905,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5162.61,1.30509,1.23073,1.4527,0.69703,0.51044,0.53172,0.35797,1.20968,0.8545,1.48783,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,5317.59,1.30627,1.23163,1.45304,0.59856,0.56607,0.53016,0.35528,1.20679,0.8507,1.48273,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,5473.43,1.2989,1.2332,1.45364,0.69884,0.51974,0.5348,0.35738,1.20092,0.84299,1.47757,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,5629.16,1.30658,1.22849,1.45475,0.69632,0.52189,0.53225,0.3568,1.19681,0.83763,1.47445,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,5785.92,1.29755,1.22966,1.45518,0.70357,0.51872,0.54009,0.36036,1.19487,0.83328,1.47071,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,5942.89,1.29976,1.22528,1.44937,0.6973,0.53317,0.53823,0.36022,1.19299,0.83202,1.46884,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,6097.82,1.29181,1.20244,1.44585,0.69371,0.53421,0.53792,0.35937,1.19499,0.82413,1.47186,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
