epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,153.847,1.6317,4.63178,0.01838,0.61099,0.22579,0.19007,0.10731,1.47843,2.10175,0.02839,0.00598458,0.00199486,0.00598458,0.00199486,0.00598458,0.00199486,0.00598458,0.00199486
2,307.511,1.56065,3.01958,0.01744,0.29609,0.2977,0.29164,0.15475,1.67741,1.87236,0.0359,0.0119827,0.00399423,0.0119827,0.00399423,0.0119827,0.00399423,0.0119827,0.00399423
3,439.953,1.578,2.3077,0.01789,0.57075,0.36645,0.36795,0.20121,1.52262,1.55543,0.02915,0.0179732,0.00599107,0.0179732,0.00599107,0.0179732,0.00599107,0.0179732,0.00599107
4,548.775,1.61301,2.07584,0.01827,0.58639,0.3976,0.35414,0.18847,1.61253,1.68732,0.03236,0.0239505,0.0079835,0.0239505,0.0079835,0.0239505,0.0079835,0.0239505,0.0079835
5,655.322,1.67467,2.08899,0.0195,0.54032,0.27123,0.26406,0.11307,1.99196,2.33905,0.04136,0.0299089,0.00996963,0.0299089,0.00996963,0.0299089,0.00996963,0.0299089,0.00996963
6,759.244,1.73065,2.10915,0.02024,0.54179,0.38995,0.34695,0.19208,1.68377,1.62697,0.03551,0.0298817,0.00996058,0.0298817,0.00996058,0.0298817,0.00996058,0.0298817,0.00996058
7,869.96,1.71324,2.00887,0.01989,0.73056,0.34447,0.36112,0.16958,1.84248,1.80586,0.03657,0.0298298,0.00994326,0.0298298,0.00994326,0.0298298,0.00994326,0.0298298,0.00994326
8,971.629,1.69976,1.93742,0.01985,0.6115,0.37384,0.35616,0.19861,1.69145,1.61662,0.03448,0.0297685,0.00992283,0.0297685,0.00992283,0.0297685,0.00992283,0.0297685,0.00992283
9,1076.78,1.68802,1.90367,0.01958,0.55887,0.42087,0.39703,0.21296,1.69207,1.40774,0.03377,0.0296978,0.00989928,0.0296978,0.00989928,0.0296978,0.00989928,0.0296978,0.00989928
10,1183.39,1.66273,1.84039,0.01949,0.56824,0.39512,0.38079,0.2144,1.69942,1.75802,0.03472,0.0296179,0.00987264,0.0296179,0.00987264,0.0296179,0.00987264,0.0296179,0.00987264
11,1289.72,1.65508,1.80779,0.01918,0.59029,0.43978,0.42245,0.2484,1.55022,1.33698,0.03102,0.0295288,0.00984292,0.0295288,0.00984292,0.0295288,0.00984292,0.0295288,0.00984292
12,1397.07,1.65576,1.7808,0.01906,0.67583,0.45227,0.41497,0.24416,1.54186,1.45732,0.03078,0.0294304,0.00981015,0.0294304,0.00981015,0.0294304,0.00981015,0.0294304,0.00981015
13,1502.13,1.63923,1.73985,0.019,0.58639,0.46801,0.44925,0.2669,1.54458,1.22258,0.03078,0.029323,0.00977433,0.029323,0.00977433,0.029323,0.00977433,0.029323,0.00977433
14,1610.05,1.62306,1.71042,0.01863,0.53461,0.47685,0.44856,0.25856,1.59319,1.23701,0.03269,0.0292065,0.0097355,0.0292065,0.0097355,0.0292065,0.0097355,0.0292065,0.0097355
