epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3603.64,1.27502,1.2019,1.43861,0.62936,0.49337,0.51604,0.34156,1.22986,0.90741,1.50405,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,3722.48,1.27754,1.20039,1.43786,0.66786,0.5491,0.51988,0.34146,1.23925,0.89712,1.5089,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,3838.55,1.27009,1.18181,1.42699,0.69439,0.51143,0.52656,0.34804,1.22784,0.88527,1.4962,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,3956.43,1.27077,1.18459,1.42678,0.60435,0.52392,0.52355,0.35006,1.2147,0.86652,1.48958,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,4074.72,1.2674,1.15885,1.42223,0.60355,0.55058,0.53004,0.35123,1.20732,0.87461,1.47497,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,4192.25,1.26479,1.15923,1.41951,0.65075,0.55692,0.52369,0.34859,1.20757,0.86287,1.47681,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,4308.18,1.25233,1.14701,1.41325,0.69487,0.54267,0.52859,0.3542,1.19753,0.84177,1.46554,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,4422.27,1.25676,1.14014,1.40643,0.50504,0.57022,0.53074,0.35379,1.19695,0.83752,1.46855,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,4541.3,1.25245,1.14856,1.41004,0.57428,0.56502,0.5227,0.35219,1.1758,0.82459,1.44815,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,4660.34,1.24971,1.14046,1.41137,0.62112,0.5437,0.53338,0.35793,1.17558,0.81879,1.44639,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,4777.84,1.24259,1.12586,1.39787,0.51036,0.57648,0.53297,0.35918,1.16525,0.81513,1.43477,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,4895.68,1.23948,1.1215,1.39852,0.51149,0.59815,0.53952,0.36529,1.16404,0.79614,1.43356,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,5014.43,1.23367,1.1116,1.39768,0.53211,0.58735,0.53908,0.36313,1.15877,0.80622,1.43892,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
